Label,P1:wikibase-item
Arabidopsis thaliana,Q2
Zea mays,Q2
Datura stramonium,Q2
Medicago sativa,Q2
Aeluropus littoralis,Q2
Oryza sativa,Q2
Populus tomentosa,Q2
Brassica napus,Q2
Capsicum annuum,Q2
Cicer arietinum,Q2
Hordeum vulgare,Q2
Atriplex hortensis,Q2
Craterostigma plantagineum,Q2
Citrus reshni,Q2
Triticum aestivum,Q2
Chrysanthemum x morifolium,Q2
Eucalyptus globulus,Q2
Cucurbita ficifolia,Q2
Gossypium barbadense,Q2
Gossypium hirsutum,Q2
Glycine max,Q2
Glycine soja,Q2
Mesembryanthemum crystallinum,Q2
Solanum lycopersicum,Q2
Lilium longiflorum,Q2
Malus domestica,Q2
Nicotiana tabacum,Q2
Vigna aconitifolia,Q2
Pisum sativum,Q2
Vigna unguiculata,Q2
Saccharum officinarum,Q2
Tamarix androssowii,Q2
Tamarix hispida,Q2
Thellungiella halophila,Q2
Suaeda salsa,Q2
Medicago truncatula,Q2
Chrysanthemum grandiflorum,Q2
Petunia x hybrida,Q2
