Label,P1:wikibase-item,QID
Arabidopsis thaliana,Q2,Q3
Arabidopsis thaliana,Q2,Q4
Arabidopsis thaliana,Q2,Q5
Arabidopsis thaliana,Q2,Q6
Arabidopsis thaliana,Q2,Q7
Arabidopsis thaliana,Q2,Q8
Arabidopsis thaliana,Q2,Q9
Arabidopsis thaliana,Q2,Q10
Arabidopsis thaliana,Q2,Q11
Arabidopsis thaliana,Q2,Q12
Zea mays,Q2,Q13
Arabidopsis thaliana,Q2,Q14
Datura stramonium,Q2,Q15
Arabidopsis thaliana,Q2,Q16
Arabidopsis thaliana,Q2,Q17
Arabidopsis thaliana,Q2,Q18
Arabidopsis thaliana,Q2,Q19
Zea mays,Q2,Q20
Arabidopsis thaliana,Q2,Q21
Medicago sativa,Q2,Q22
Aeluropus littoralis,Q2,Q23
Arabidopsis thaliana,Q2,Q24
Arabidopsis thaliana,Q2,Q25
Oryza sativa,Q2,Q26
Populus tomentosa,Q2,Q27
Arabidopsis thaliana,Q2,Q28
Arabidopsis thaliana,Q2,Q29
Zea mays,Q2,Q30
Arabidopsis thaliana,Q2,Q31
Arabidopsis thaliana,Q2,Q32
Arabidopsis thaliana,Q2,Q33
Arabidopsis thaliana,Q2,Q34
Arabidopsis thaliana,Q2,Q35
Arabidopsis thaliana,Q2,Q36
Arabidopsis thaliana,Q2,Q37
Brassica napus,Q2,Q38
Brassica napus,Q2,Q39
Capsicum annuum,Q2,Q40
Cicer arietinum,Q2,Q41
Arabidopsis thaliana,Q2,Q42
Arabidopsis thaliana,Q2,Q43
Hordeum vulgare,Q2,Q44
Arabidopsis thaliana,Q2,Q45
Arabidopsis thaliana,Q2,Q46
Oryza sativa,Q2,Q47
Oryza sativa,Q2,Q48
Oryza sativa,Q2,Q49
Oryza sativa,Q2,Q50
Arabidopsis thaliana,Q2,Q51
Arabidopsis thaliana,Q2,Q52
Atriplex hortensis,Q2,Q53
Oryza sativa,Q2,Q54
Arabidopsis thaliana,Q2,Q55
Arabidopsis thaliana,Q2,Q56
Craterostigma plantagineum,Q2,Q57
Citrus reshni,Q2,Q58
Triticum aestivum,Q2,Q59
Arabidopsis thaliana,Q2,Q60
Arabidopsis thaliana,Q2,Q61
Chrysanthemum x morifolium,Q2,Q62
Arabidopsis thaliana,Q2,Q63
Arabidopsis thaliana,Q2,Q64
Arabidopsis thaliana,Q2,Q65
Arabidopsis thaliana,Q2,Q66
Zea mays,Q2,Q67
Oryza sativa,Q2,Q68
Arabidopsis thaliana,Q2,Q69
Arabidopsis thaliana,Q2,Q70
Arabidopsis thaliana,Q2,Q71
Eucalyptus globulus,Q2,Q72
Brassica napus,Q2,Q73
Arabidopsis thaliana,Q2,Q74
Arabidopsis thaliana,Q2,Q75
Arabidopsis thaliana,Q2,Q76
Cucurbita ficifolia,Q2,Q77
Gossypium barbadense,Q2,Q78
Arabidopsis thaliana,Q2,Q79
Arabidopsis thaliana,Q2,Q80
Gossypium hirsutum,Q2,Q81
Gossypium hirsutum,Q2,Q82
Oryza sativa,Q2,Q83
Glycine max,Q2,Q84
Glycine max,Q2,Q85
Arabidopsis thaliana,Q2,Q86
Arabidopsis thaliana,Q2,Q87
Arabidopsis thaliana,Q2,Q88
Arabidopsis thaliana,Q2,Q89
Arabidopsis thaliana,Q2,Q90
Arabidopsis thaliana,Q2,Q91
Glycine soja,Q2,Q92
Arabidopsis thaliana,Q2,Q93
Arabidopsis thaliana,Q2,Q94
Arabidopsis thaliana,Q2,Q95
Arabidopsis thaliana,Q2,Q96
Arabidopsis thaliana,Q2,Q97
Arabidopsis thaliana,Q2,Q98
Arabidopsis thaliana,Q2,Q99
Arabidopsis thaliana,Q2,Q100
Hordeum vulgare,Q2,Q101
Hordeum vulgare,Q2,Q102
Arabidopsis thaliana,Q2,Q103
Mesembryanthemum crystallinum,Q2,Q104
Solanum lycopersicum,Q2,Q105
Arabidopsis thaliana,Q2,Q106
Arabidopsis thaliana,Q2,Q107
Arabidopsis thaliana,Q2,Q108
Arabidopsis thaliana,Q2,Q109
Lilium longiflorum,Q2,Q110
Arabidopsis thaliana,Q2,Q111
Malus domestica,Q2,Q112
Medicago sativa,Q2,Q113
Arabidopsis thaliana,Q2,Q114
Oryza sativa,Q2,Q115
Arabidopsis thaliana,Q2,Q116
Arabidopsis thaliana,Q2,Q117
Oryza sativa,Q2,Q118
Arabidopsis thaliana,Q2,Q119
Arabidopsis thaliana,Q2,Q120
Arabidopsis thaliana,Q2,Q121
Arabidopsis thaliana,Q2,Q122
Triticum aestivum,Q2,Q123
Zea mays,Q2,Q124
Arabidopsis thaliana,Q2,Q125
Arabidopsis thaliana,Q2,Q126
Arabidopsis thaliana,Q2,Q127
Nicotiana tabacum,Q2,Q128
Nicotiana tabacum,Q2,Q129
Arabidopsis thaliana,Q2,Q130
Oryza sativa,Q2,Q131
Oryza sativa,Q2,Q132
Oryza sativa,Q2,Q133
Oryza sativa,Q2,Q134
Oryza sativa,Q2,Q135
Oryza sativa,Q2,Q136
Oryza sativa,Q2,Q137
Oryza sativa,Q2,Q138
Arabidopsis thaliana,Q2,Q139
Oryza sativa,Q2,Q140
Oryza sativa,Q2,Q141
Oryza sativa,Q2,Q142
Oryza sativa,Q2,Q143
Oryza sativa,Q2,Q144
Arabidopsis thaliana,Q2,Q145
Arabidopsis thaliana,Q2,Q146
Oryza sativa,Q2,Q147
Vigna aconitifolia,Q2,Q148
Arabidopsis thaliana,Q2,Q149
Arabidopsis thaliana,Q2,Q150
Arabidopsis thaliana,Q2,Q151
Pisum sativum,Q2,Q152
Arabidopsis thaliana,Q2,Q153
Oryza sativa,Q2,Q154
Arabidopsis thaliana,Q2,Q155
Arabidopsis thaliana,Q2,Q156
Vigna unguiculata,Q2,Q157
Capsicum annuum,Q2,Q158
Triticum aestivum,Q2,Q159
Zea mays,Q2,Q160
Arabidopsis thaliana,Q2,Q161
Zea mays,Q2,Q162
Arabidopsis thaliana,Q2,Q163
Arabidopsis thaliana,Q2,Q164
Oryza sativa,Q2,Q165
Arabidopsis thaliana,Q2,Q166
Datura stramonium,Q2,Q167
Arabidopsis thaliana,Q2,Q168
Solanum lycopersicum,Q2,Q169
Solanum lycopersicum,Q2,Q170
Arabidopsis thaliana,Q2,Q171
Arabidopsis thaliana,Q2,Q172
Solanum lycopersicum,Q2,Q173
Oryza sativa,Q2,Q174
Medicago sativa,Q2,Q175
Saccharum officinarum,Q2,Q176
Arabidopsis thaliana,Q2,Q177
Triticum aestivum,Q2,Q178
Arabidopsis thaliana,Q2,Q179
Arabidopsis thaliana,Q2,Q180
Triticum aestivum,Q2,Q181
Tamarix androssowii,Q2,Q182
Solanum lycopersicum,Q2,Q183
Solanum lycopersicum,Q2,Q184
Tamarix hispida,Q2,Q185
Thellungiella halophila,Q2,Q186
Arabidopsis thaliana,Q2,Q187
Oryza sativa,Q2,Q188
Suaeda salsa,Q2,Q189
Oryza sativa,Q2,Q190
Triticum aestivum,Q2,Q191
Triticum aestivum,Q2,Q192
Medicago truncatula,Q2,Q193
Arabidopsis thaliana,Q2,Q194
Glycine soja,Q2,Q195
Chrysanthemum grandiflorum,Q2,Q196
Zea mays,Q2,Q197
Zea mays,Q2,Q198
Zea mays,Q2,Q199
Zea mays,Q2,Q200
Petunia x hybrida,Q2,Q201
