Label,P1:wikibase-item,QID
Arabidopsis thaliana,Q2,Q3
Zea mays,Q2,Q4
Datura stramonium,Q2,Q5
Medicago sativa,Q2,Q6
Aeluropus littoralis,Q2,Q7
Oryza sativa,Q2,Q8
Populus tomentosa,Q2,Q9
Brassica napus,Q2,Q10
Capsicum annuum,Q2,Q11
Cicer arietinum,Q2,Q12
Hordeum vulgare,Q2,Q13
Atriplex hortensis,Q2,Q14
Craterostigma plantagineum,Q2,Q15
Citrus reshni,Q2,Q16
Triticum aestivum,Q2,Q17
Chrysanthemum x morifolium,Q2,Q18
Eucalyptus globulus,Q2,Q19
Cucurbita ficifolia,Q2,Q20
Gossypium barbadense,Q2,Q21
Gossypium hirsutum,Q2,Q22
Glycine max,Q2,Q23
Glycine soja,Q2,Q24
Mesembryanthemum crystallinum,Q2,Q25
Solanum lycopersicum,Q2,Q26
Lilium longiflorum,Q2,Q27
Malus domestica,Q2,Q28
Nicotiana tabacum,Q2,Q29
Vigna aconitifolia,Q2,Q30
Pisum sativum,Q2,Q31
Vigna unguiculata,Q2,Q32
Saccharum officinarum,Q2,Q33
Tamarix androssowii,Q2,Q34
Tamarix hispida,Q2,Q35
Thellungiella halophila,Q2,Q36
Suaeda salsa,Q2,Q37
Medicago truncatula,Q2,Q38
Chrysanthemum grandiflorum,Q2,Q39
Petunia x hybrida,Q2,Q40
