Label,P1:wikibase-item,P2:wikibase-item,P3:String,P4:String,,QID
AAO3,Q1,Q3,"Arabidopsis aldehyde oxidase, catalyzes final step in ABA biosynthesis",mutant: wilty phenotype,,Q202
ABCG22,Q1,Q4,ABC-transporter,knockout: more susceptible to drought stress,,Q203
ABCG25,Q1,Q5,"ABC-transporter, ABA export from cells",overexpressor: higher leaf temperature,,Q204
ABCG40,Q1,Q6,"ABC-transporter, ABA import","knockout: upregulation of ABA responsive genes is delayed, stomata close more slowly",,Q205
ABF3,Q1,Q7,ABA responsive element (ABRE) binding bZIP factor,overexpression: enhanced drought tolerance,,Q206
ABF4,Q1,Q8,ABA responsive element (ABRE) binding bZIP factor,overexpression: enhanced drought tolerance,,Q207
ABH1/CBP80,Q1,Q9,subunit of mRNA cap-binding complex,mutant: stomatal aperture decreased,,Q208
ABI1,Q1,Q10,PP2C,ABA insensitive mutant: wilting and witherung under water stress condition,,Q209
ABI2,Q1,Q11,PP2C,ABA insensitive,,Q210
ABO1/ELO1,Q1,Q12,"subunit of Elongator, a multifunctional complex with roles in transcription elongation, secretion and tRNA modification","abo1 = ABA overly sensitive, drought resistant phenotype, ABA-induced stomatal closing is enhanced",,Q211
ABP9,Q1,Q13,"bZIP TF, ABRE binding","expression in Ath: enhanced tolerance to drought, hig salt, freezing",,Q212
ADAP,Q1,Q14,"ARIA-interacting, AP2 domain",pos. Regulator of ABA,,Q213
ADR1,Q1,Q16,coiled-coil-nucleotide-binding site-LRR protein,overexpressor: enhanced drought tolerance,,Q215
AGO1,Q1,Q17,Argonaute1,loss-of-function: enhanced drought tolerance,,Q216
AHK1,Q1,Q18,histidine kinase,overexpression: drought tolerance,,Q217
AIRP1,Q1,Q19,C3H2C3-type RING E3 ubiquitin ligase,overexpressor: tolerant to severe drought stress,,Q218
ALDH22A1,Q1,Q20,aldehyde dehydrogenase,expression in tobacco: enhanced stress tolerance,,Q219
ALDH3I1,Q1,Q21,aldehyde dehydrogenase,overexpression: improved tolerance to dehydration,,Q220
ALR,Q1,Q22,aldose/aldehyde reductase,overexpression in tobacco: more tolerant to drought and UV-B,,Q221
AlSAP,Q1,Q23,A20/AN1 zinc-finger protein,"expression in tobacco: drough, salt, freezing, heat tolerance",,Q222
AnnAt1,Q1,Q24,Annexin1,upregulated upon abiotic stress,,Q223
AnnAt4,Q1,Q25,Annexin4,double mutant annAt1 annAt4: tolerance to drought,,Q224
AP37,Q1,Q26,AP2 domain TF,overexpression: enhanced drought tolerance,,Q225
APX,Q1,Q27,ascorbate peroxidase,"expression in tobacco: increased root growth, improved drought and salt stress resistance",,Q226
APX2,Q1,Q28,"Ascorbate peroxidase 2, H2O2 scavenger",overexpressor (=alx8 = gain-of function): drought tolerant,,Q227
AREB1,Q1,Q29,"bZIP TF, ABRE binding",needs ABA-dependent phosphorylation for activation,,Q228
ASR1,Q1,Q30,putative TF,genetically linked to drought tolerance QTL,,Q229
AtATL78,Q1,Q31,RING E3 ubiquitin ligase,AtATL78 is a negative regulator of cold stress response and a positive regulator of drought stress response in Arabidopsis.,,Q230
AtBG1,Q1,Q32,"beta-glucosidase; hydrolyzes glucose-conjugated, inactive ABA to active ABA",overexpression: drought tolerance,,Q231
ATHB6,Q1,Q33,"homeodomain protein, target of ABI1",overexpression: ABA insensitivity,,Q232
AtNF-YB1,Q1,Q34,"plant transcription factor, nuclear factor Y family protein",increased expression level: improved performance under drought conditions,,Q233
AtrbohD,Q1,Q35,NADPH oxidase catalytical subunit,atrbohD/F double mutant: ABA induced stomatal closing is impaired,,Q234
